,subject_id,academic_over_social,age,anxious,bookish,books_over_parties,calm,collect_books,conventional,critical,dependable,diagnosed_autistic,disorganized,education,engnat,enjoy_learning,excited_about_research,extraverted,familysize,gender,hand,hobbies_over_people,in_advanced_classes,intelligence_over_appearance,interested_science,introspective,libraries_over_publicspace,like_dry_topics,like_hard_material,like_science_fiction,like_superheroes,major,married,online_over_inperson,opennness,play_many_videogames,playes_rpgs,prefer_fictional_people,race_arab,race_asian,race_black,race_hispanic,race_native_american,race_native_austrailian,race_nerdy,race_white,read_tech_reports,religion,reserved,socially_awkward,strange_person,sympathetic,urban,voted,was_odd_child,watch_science_shows,writing_novel
1203,1203,3.0,45.0,3.0,4.0,4.0,7.0,5.0,2.0,2.0,7.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,civil engineering/history,2.0,2.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0
1204,1204,4.0,,4.0,2.0,5.0,6.0,4.0,1.0,4.0,5.0,2.0,5.0,,,2.0,2.0,5.0,,,,2.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,,,5.0,5.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,,7.0,5.0,5.0,5.0,,,4.0,5.0,2.0
1205,1205,4.0,52.0,2.0,3.0,1.0,6.0,5.0,6.0,6.0,6.0,2.0,7.0,4.0,1.0,1.0,4.0,6.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,mechanical engineering,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,5.0,5.0,5.0,2.0,2.0,4.0,5.0,1.0
1206,1206,5.0,,3.0,5.0,5.0,6.0,5.0,2.0,3.0,6.0,2.0,2.0,,,1.0,5.0,3.0,,,,1.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,,,3.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,5.0,5.0,5.0,5.0,,,5.0,5.0,1.0
1207,1207,2.0,,7.0,5.0,5.0,1.0,5.0,2.0,6.0,2.0,2.0,7.0,,,2.0,5.0,2.0,,,,1.0,4.0,0.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,,,2.0,3.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,7.0,5.0,5.0,2.0,,,2.0,4.0,1.0
1208,1208,3.0,,3.0,4.0,5.0,4.0,4.0,2.0,4.0,7.0,2.0,1.0,,,2.0,5.0,4.0,,,,2.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,,,4.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,3.0,5.0,4.0,3.0,,,4.0,5.0,1.0
1209,1209,4.0,,6.0,1.0,4.0,3.0,4.0,1.0,5.0,6.0,2.0,3.0,,,1.0,2.0,6.0,,,,2.0,3.0,1.0,2.0,2.0,5.0,1.0,0.0,2.0,4.0,,,2.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,1.0,2.0,4.0,3.0,,,2.0,5.0,1.0
1210,1210,3.0,45.0,7.0,4.0,3.0,3.0,2.0,4.0,1.0,7.0,2.0,4.0,4.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,History,2.0,2.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,6.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,1.0
1211,1211,3.0,,4.0,1.0,3.0,5.0,3.0,4.0,6.0,7.0,2.0,2.0,,,1.0,1.0,4.0,,,,3.0,5.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,4.0,,,3.0,6.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,6.0,4.0,4.0,5.0,,,3.0,5.0,3.0
1212,1212,3.0,,5.0,4.0,5.0,6.0,5.0,6.0,3.0,7.0,2.0,2.0,,,1.0,4.0,5.0,,,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,,4.0,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,6.0,5.0,5.0,6.0,,,5.0,5.0,5.0
1213,1213,5.0,35.0,1.0,5.0,3.0,6.0,3.0,6.0,2.0,6.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,psychology,2.0,2.0,5.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,7.0,3.0,2.0,4.0,1.0,2.0,4.0,4.0,1.0
1214,1214,3.0,18.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,2.0,6.0,2.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,2.0,biology,1.0,4.0,7.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,6.0,3.0,5.0,3.0,2.0,2.0,3.0,5.0,4.0
